,day,phase
0,2024-01-01,luteal
1,2024-01-02,luteal
2,2024-01-03,luteal
3,2024-01-04,luteal
4,2024-01-05,luteal
5,2024-01-06,period
6,2024-01-07,period
7,2024-01-08,period
8,2024-01-09,period
9,2024-01-10,period
10,2024-01-11,follicular
11,2024-01-12,follicular
12,2024-01-13,follicular
13,2024-01-14,follicular
14,2024-01-15,follicular
15,2024-01-16,follicular
16,2024-01-17,follicular
17,2024-01-18,follicular
18,2024-01-19,follicular
19,2024-01-20,follicular
20,2024-01-21,follicular
21,2024-01-22,ovulation
22,2024-01-23,luteal
23,2024-01-24,luteal
24,2024-01-25,luteal
25,2024-01-26,luteal
26,2024-01-27,luteal
27,2024-01-28,luteal
28,2024-01-29,luteal
29,2024-01-30,luteal
30,2024-01-31,luteal
31,2024-02-01,luteal
32,2024-02-02,luteal
33,2024-02-03,luteal
34,2024-02-04,luteal
35,2024-02-05,luteal
36,2024-02-06,period
37,2024-02-07,period
38,2024-02-08,period
39,2024-02-09,period
40,2024-02-10,period
41,2024-02-11,follicular
42,2024-02-12,follicular
43,2024-02-13,follicular
44,2024-02-14,follicular
45,2024-02-15,follicular
46,2024-02-16,follicular
47,2024-02-17,follicular
48,2024-02-18,follicular
49,2024-02-19,ovulation
50,2024-02-20,luteal
51,2024-02-21,luteal
52,2024-02-22,luteal
53,2024-02-23,luteal
54,2024-02-24,luteal
55,2024-02-25,luteal
56,2024-02-26,luteal
57,2024-02-27,luteal
58,2024-02-28,luteal
59,2024-02-29,luteal
60,2024-03-01,luteal
61,2024-03-02,luteal
62,2024-03-03,luteal
63,2024-03-04,luteal
64,2024-03-05,period
65,2024-03-06,period
66,2024-03-07,period
67,2024-03-08,period
68,2024-03-09,period
69,2024-03-10,follicular
70,2024-03-11,follicular
71,2024-03-12,follicular
72,2024-03-13,follicular
73,2024-03-14,follicular
74,2024-03-15,follicular
75,2024-03-16,follicular
76,2024-03-17,follicular
77,2024-03-18,follicular
78,2024-03-19,follicular
79,2024-03-20,follicular
80,2024-03-21,ovulation
81,2024-03-22,luteal
82,2024-03-23,luteal
83,2024-03-24,luteal
84,2024-03-25,luteal
85,2024-03-26,luteal
86,2024-03-27,luteal
87,2024-03-28,luteal
88,2024-03-29,luteal
89,2024-03-30,luteal
90,2024-03-31,luteal
91,2024-04-01,luteal
92,2024-04-02,luteal
93,2024-04-03,luteal
94,2024-04-04,period
95,2024-04-05,period
96,2024-04-06,period
97,2024-04-07,period
98,2024-04-08,period
99,2024-04-09,follicular
100,2024-04-10,follicular
101,2024-04-11,follicular
102,2024-04-12,follicular
103,2024-04-13,follicular
104,2024-04-14,follicular
105,2024-04-15,follicular
106,2024-04-16,follicular
107,2024-04-17,follicular
108,2024-04-18,follicular
109,2024-04-19,follicular
110,2024-04-20,ovulation
111,2024-04-21,luteal
112,2024-04-22,luteal
113,2024-04-23,luteal
114,2024-04-24,luteal
115,2024-04-25,luteal
116,2024-04-26,luteal
117,2024-04-27,luteal
118,2024-04-28,luteal
119,2024-04-29,luteal
120,2024-04-30,luteal
121,2025-05-01,luteal
122,2025-05-02,luteal
123,2025-05-03,luteal
124,2025-05-04,period
125,2025-05-05,period
126,2025-05-06,period
127,2025-05-07,period
128,2025-05-08,period
129,2025-05-09,follicular
130,2025-05-10,follicular
131,2025-05-11,follicular
132,2025-05-12,follicular
133,2025-05-13,follicular
134,2025-05-14,follicular
135,2025-05-15,follicular
136,2025-05-16,follicular
137,2025-05-17,follicular
138,2025-05-18,follicular
139,2025-05-19,follicular
140,2025-05-20,follicular
141,2025-05-21,ovulation
142,2025-05-22,luteal
143,2025-05-23,luteal
144,2025-05-24,luteal
145,2025-05-25,luteal
146,2025-05-26,luteal
147,2025-05-27,luteal
148,2025-05-28,luteal
149,2025-05-29,luteal
150,2025-05-30,luteal
151,2025-05-31,luteal
152,2025-06-01,luteal
153,2025-06-02,luteal
154,2025-06-03,luteal
155,2025-06-04,period
156,2025-06-05,period
157,2025-06-06,period
158,2025-06-07,period
159,2025-06-08,period
160,2025-06-09,follicular
161,2025-06-10,follicular
162,2025-06-11,follicular
163,2025-06-12,follicular
164,2025-06-13,follicular
165,2025-06-14,follicular
166,2025-06-15,follicular
167,2025-06-16,follicular
168,2025-06-17,follicular
169,2025-06-18,follicular
170,2025-06-19,follicular
171,2025-06-20,follicular
172,2025-06-21,ovulation
173,2025-06-22,luteal
174,2025-06-23,luteal
175,2025-06-24,luteal
176,2025-06-25,luteal
177,2025-06-26,luteal
178,2025-06-27,luteal
179,2025-06-28,luteal
180,2025-06-29,luteal
181,2025-06-30,luteal
182,2025-07-01,luteal
183,2025-07-02,luteal
184,2025-07-03,luteal
185,2025-07-04,luteal
186,2025-07-05,luteal
187,2025-07-06,period
188,2025-07-07,period
189,2025-07-08,period
190,2025-07-09,period
191,2025-07-10,period
192,2025-07-11,follicular
193,2025-07-12,follicular
194,2025-07-13,follicular
195,2025-07-14,follicular
196,2025-07-15,follicular
197,2025-07-16,follicular
198,2025-07-17,follicular
199,2025-07-18,follicular
200,2025-07-19,follicular
201,2025-07-20,ovulation
202,2025-07-21,luteal
203,2025-07-22,luteal
204,2025-07-23,luteal
205,2025-07-24,luteal
206,2025-07-25,luteal
207,2025-07-26,luteal
208,2025-07-27,luteal
209,2025-07-28,luteal
210,2025-07-29,luteal
211,2025-07-30,luteal
212,2025-07-31,luteal
213,2025-08-01,luteal
214,2025-08-02,luteal
215,2025-08-03,luteal
216,2025-08-04,period
217,2025-08-05,period
218,2025-08-06,period
219,2025-08-07,period
220,2025-08-08,period
221,2025-08-09,follicular
222,2025-08-10,follicular
223,2025-08-11,follicular
224,2025-08-12,follicular
225,2025-08-13,follicular
226,2024-10-01,follicular
227,2024-10-02,follicular
228,2024-10-03,period
229,2024-10-04,period
230,2024-10-05,period
231,2024-10-06,period
232,2024-10-07,period
233,2024-10-08,follicular
234,2024-10-09,follicular
235,2024-10-10,follicular
236,2024-10-11,follicular
237,2024-10-12,follicular
238,2024-10-13,follicular
239,2024-10-14,follicular
240,2024-10-15,follicular
241,2024-10-16,follicular
242,2024-10-17,follicular
243,2024-10-18,follicular
244,2024-10-19,ovulation
245,2024-10-20,luteal
246,2024-10-21,luteal
247,2024-10-22,luteal
248,2024-10-23,luteal
249,2024-10-24,luteal
250,2024-10-25,luteal
251,2024-10-26,luteal
252,2024-10-27,luteal
253,2024-10-28,luteal
254,2024-10-29,luteal
255,2024-10-30,luteal
256,2024-10-31,luteal
257,2024-11-01,luteal
258,2024-11-02,period
259,2024-11-03,period
260,2024-11-04,period
261,2024-11-05,period
262,2024-11-06,period
263,2024-11-07,follicular
264,2024-11-08,follicular
265,2024-11-09,follicular
266,2024-11-10,follicular
267,2024-11-11,follicular
