day,timestamp,contributors,score,temperature_deviation,temperature_trend_deviation,id
"2024-03-23","2024-03-23T00:00:00+00:00","{'activity_balance': 82, 'body_temperature': 100, 'hrv_balance': None, 'previous_day_activity': 78, 'previous_night': 89, 'recovery_index': 100, 'resting_heart_rate': 93, 'sleep_balance': None, 'sleep_regularity': None}",89,-0.07,"","16c2b7c0-e9eb-4995-9d20-06dfb8f98122"
"2024-03-24","2024-03-24T00:00:00+00:00","{'activity_balance': 81, 'body_temperature': 66, 'hrv_balance': None, 'previous_day_activity': 100, 'previous_night': 66, 'recovery_index': 6, 'resting_heart_rate': 72, 'sleep_balance': None, 'sleep_regularity': None}",62,0.62,"","1b6df8c4-357f-4c22-b3fd-e02836be6212"
"2024-03-25","2024-03-25T00:00:00+00:00","{'activity_balance': 88, 'body_temperature': 100, 'hrv_balance': None, 'previous_day_activity': 100, 'previous_night': 78, 'recovery_index': 99, 'resting_heart_rate': 88, 'sleep_balance': None, 'sleep_regularity': None}",89,0.02,0.22,"99aaf024-f139-4df3-8dba-64100dc53bd0"
"2024-03-26","2024-03-26T00:00:00+00:00","{'activity_balance': 81, 'body_temperature': 100, 'hrv_balance': 62, 'previous_day_activity': 100, 'previous_night': 57, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 70, 'sleep_regularity': None}",79,-0.02,0.09,"c2f8f9e0-337b-48bc-9a26-6802273a23aa"
"2024-03-27","2024-03-27T00:00:00+00:00","{'activity_balance': 85, 'body_temperature': 92, 'hrv_balance': 66, 'previous_day_activity': 91, 'previous_night': 78, 'recovery_index': 100, 'resting_heart_rate': 84, 'sleep_balance': 74, 'sleep_regularity': 91}",82,0.17,0.33,"ed82b44b-44b6-43d0-b9e4-3f61db487cf4"
"2024-03-28","2024-03-28T00:00:00+00:00","{'activity_balance': 86, 'body_temperature': 92, 'hrv_balance': 79, 'previous_day_activity': 93, 'previous_night': 62, 'recovery_index': 87, 'resting_heart_rate': 96, 'sleep_balance': 64, 'sleep_regularity': 90}",81,0.16,0.08,"1ec6421e-d61f-4116-8aa1-a89679a9141f"
"2024-03-29","2024-03-29T00:00:00+00:00","{'activity_balance': 87, 'body_temperature': 78, 'hrv_balance': 67, 'previous_day_activity': 97, 'previous_night': 65, 'recovery_index': 92, 'resting_heart_rate': 53, 'sleep_balance': 67, 'sleep_regularity': 84}",74,0.32,0.16,"822dea8f-6fcf-4b29-b747-bb00f828408e"
"2024-03-30","2024-03-30T00:00:00+00:00","{'activity_balance': 91, 'body_temperature': 97, 'hrv_balance': 83, 'previous_day_activity': 100, 'previous_night': 82, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 71, 'sleep_regularity': 84}",88,0.1,0.17,"1faad075-6165-4999-a666-aef95c69b5cb"
"2024-03-31","2024-03-31T00:00:00+00:00","{'activity_balance': 89, 'body_temperature': 85, 'hrv_balance': 76, 'previous_day_activity': 99, 'previous_night': 90, 'recovery_index': 100, 'resting_heart_rate': 96, 'sleep_balance': 68, 'sleep_regularity': 84}",87,0.24,0.26,"6a4a0797-16dc-4904-b2f8-b28d7076e3c9"
"2024-04-01","2024-04-01T00:00:00+00:00","{'activity_balance': 94, 'body_temperature': 86, 'hrv_balance': 80, 'previous_day_activity': 100, 'previous_night': 84, 'recovery_index': 100, 'resting_heart_rate': 96, 'sleep_balance': 71, 'sleep_regularity': 82}",87,0.23,0.22,"4baf3296-7769-4e09-8351-6066ac7fff4f"
"2024-04-02","2024-04-02T00:00:00+00:00","{'activity_balance': 91, 'body_temperature': 100, 'hrv_balance': 83, 'previous_day_activity': 94, 'previous_night': 80, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 73, 'sleep_regularity': 83}",87,-0.02,0.09,"d0b11be2-fae9-4058-b00c-9ca7c27799b6"
"2024-04-03","2024-04-03T00:00:00+00:00","{'activity_balance': 88, 'body_temperature': 97, 'hrv_balance': 81, 'previous_day_activity': 72, 'previous_night': 85, 'recovery_index': 100, 'resting_heart_rate': 77, 'sleep_balance': 77, 'sleep_regularity': 84}",82,0.11,0.19,"3a5cb3e7-b8ef-4f18-b798-9ecb36dcc0a8"
"2024-04-04","2024-04-04T00:00:00+00:00","{'activity_balance': 97, 'body_temperature': 85, 'hrv_balance': 75, 'previous_day_activity': 95, 'previous_night': 74, 'recovery_index': 7, 'resting_heart_rate': 46, 'sleep_balance': 76, 'sleep_regularity': 85}",69,0.24,0.2,"9fd2d05e-3aaa-4083-a5e5-369d5f6106a5"
"2024-04-05","2024-04-05T00:00:00+00:00","{'activity_balance': 86, 'body_temperature': 100, 'hrv_balance': 82, 'previous_day_activity': 93, 'previous_night': 64, 'recovery_index': 83, 'resting_heart_rate': 72, 'sleep_balance': 73, 'sleep_regularity': 85}",78,-0.08,0.01,"9e9bdc8f-305c-4954-b4c5-737b499dd288"
